project_id,latitude,longitude,neighbourhood_cleansed,price,room_type,accommodates,bedrooms,beds,host_is_superhost,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,availability_365,amenities_count,bathrooms,NEAR_DIST,House_Buffer_metro_500Join,House_Buffer_metro_100Join,House_Buffer_bus_500Join,House_Buffer_bus_100Join,count_shop_500m,count_rest_500m,count_commercial_500m,dist_to_beach,dist_to_park,dist_to_water,dist_to_tour
1,22.28418,114.15431,Central & Western,1310,Entire home/apt,6,2,3,0,316,1.82,4.47,12,348,20,1,1210.4023773162514,0,0,146,1,51,386,437,3642.3790738380894,90.30938810050264,172.41471236679487,282.4956579679449
2,22.28228,114.14923,Central & Western,800,Entire home/apt,2,1,1,1,229,1.35,4.9,5,23,36,1,763.4938943736446,0,0,34,5,35,216,251,3078.6801563753534,93.42185649799566,239.45417159007985,528.2416321362324
4,22.28376,114.15313,Central & Western,991,Entire home/apt,2,1,1,0,19,0.11,4.88,30,365,7,1,1096.593165134304,0,0,148,1,57,402,459,3512.397542931711,42.31934026279733,177.97659311027184,261.00950375425657
6,22.271842741003255,114.00395029676515,Islands,360,Private room,1,1,1,0,2,0.64,5,2,89,51,1,6730.777843787448,0,0,0,0,0,1,1,561.8380389970454,760.7158646732621,709.2805838278707,4061.700526026199
7,22.28543,114.1489,Central & Western,1052,Entire home/apt,4,1,2,1,313,1.94,4.71,1,277,50,1,644.8729306151812,0,0,90,3,36,160,196,3209.952974040632,66.33003084191549,144.82362400101616,367.7307336466268
8,22.28113,114.18416,Wan Chai,648,Entire home/apt,2,1,1,0,10,0.12,5,30,255,22,1,809.4727426811621,0,0,120,6,48,243,291,4051.732317568682,271.2451321055332,375.73336982416026,279.3891516994713
9,22.27825,114.17699,Wan Chai,186,Shared room,8,1,8,0,210,1.74,4.52,1,365,44,1,395.80404700707106,1,0,163,10,57,257,314,3868.3309469053943,65.22809782198973,275.4636039891891,739.7118507276209
10,22.27917,114.18577,Wan Chai,410,Entire home/apt,2,1,1,0,11,0.07,5,90,232,16,1,720.9265953317325,0,0,133,14,48,220,268,3825.068405396775,267.2971185310682,602.5345355613272,75.59932503022615
11,22.2782412,114.1769881,Wan Chai,186,Shared room,8,1,8,0,29,0.18,4.52,1,365,44,1,396.65491552987373,1,0,163,10,57,257,314,3867.447592662712,64.32901174763172,276.4311794974829,740.4974090376103
12,22.25382,113.86251,Islands,2115,Hotel room,5,1,4,0,15,0.12,4.8,1,11,16,1,9025.243533108807,0,0,3,0,1,20,21,670.4842828630542,95.40621451005406,395.4655835281924,4381.076088310359
13,22.2856,114.1428,Central & Western,664,Entire home/apt,3,0,1,0,2,0.01,5,2,133,14,1,24.47104188076268,1,1,63,0,31,90,121,2599.8525674122066,160.4417773728523,407.7810777268568,991.597471064205
14,22.2554,113.86194,Islands,1376,Hotel room,3,1,1,0,46,0.33,4.74,1,84,15,1,9003.925898869858,0,0,2,0,1,20,21,496.8886975318016,266.16627342761376,375.12579779621,4442.643458446183
15,22.25575,113.86351,Islands,967,Hotel room,3,1,2,0,30,0.21,4.83,1,72,16,1,8840.714082276803,0,0,2,0,1,20,21,472.4464116050533,332.2965217003246,341.6339695930037,4282.5330098254135
17,22.31807,114.17081,Yau Tsim Mong,215,Private room,2,1,2,0,16,0.1,4.13,28,168,20,1,752.7574686269148,0,0,140,0,70,221,291,2473.3011461699466,140.73352019779412,582.6246927534482,24.946535448662125
18,22.31805,114.17074,Yau Tsim Mong,250,Private room,4,1,2,0,4,0.03,4.67,28,274,5,1,752.3993895104777,0,0,140,0,70,222,292,2466.4969394204954,144.97587495821875,581.5849870626413,26.087062333831632
19,22.31828,114.17047,Yau Tsim Mong,205,Private room,2,1,1,0,21,0.14,4.62,28,145,19,1,719.3223296909756,0,0,139,8,71,226,297,2435.288096667722,182.57806193017348,547.0382969850082,63.37915800176175
20,22.31792,114.17042,Yau Tsim Mong,172,Private room,1,1,1,0,45,0.29,4.29,28,311,17,1,755.8132933376041,0,0,147,11,73,220,293,2436.112871121152,165.408496419168,582.0467262800169,48.129780931378754
23,22.21433,114.02804,Islands,1494,Entire home/apt,4,2,2,0,7,0.05,4.5,3,311,11,1,12191.190241428892,0,0,0,0,0,6,6,443.1985589292094,249.663752634116,538.4092542968822,10278.026531866482
24,22.27993,114.15088,Central & Western,1000,Entire home/apt,2,0,2,1,53,0.35,4.81,7,291,40,1,1045.1101642176109,0,0,36,3,22,212,234,3140.1930389402005,15.8934482654806,96.48519036250674,473.15572891033366
26,22.27742,114.18156,Wan Chai,800,Entire home/apt,3,1,1,1,120,0.83,4.59,1,60,36,1,762.6497139467187,0,0,146,9,52,271,323,3675.7402646305513,171.37304605839864,477.2742477957428,548.0916917567616
29,22.307896,114.166949,Yau Tsim Mong,504,Entire home/apt,2,1,1,0,45,0.29,4.33,1,311,15,1,406.9119319402674,1,0,93,4,43,132,175,2533.919480820764,109.30073418484258,712.8783743318662,342.30412157551746
30,22.32514,114.17712,Kowloon City,217,Private room,1,1,1,0,2,0.01,4,30,363,3,1,911.6728669592618,0,0,39,3,1,1,2,3119.428280110908,366.0998095102218,935.4550130594712,349.9269942060905
31,22.31318,114.16845,Yau Tsim Mong,180,Entire home/apt,2,1,1,0,1,0.01,5,30,276,5,1,1008.6028774970256,0,0,83,5,47,132,179,2382.2619606617536,131.4872740087627,1067.992195054296,122.3573552697507
32,22.31453,114.16863,Yau Tsim Mong,180,Private room,1,1,1,0,0,0,0,30,364,5,1,1099.5289173055646,0,0,105,0,59,172,231,2347.034647647148,64.14490818472876,918.819802245512,272.9910720223989
33,22.31006,114.17138,Yau Tsim Mong,140,Private room,1,1,1,0,0,0,0,31,363,5,1,811.4267598849297,0,0,93,11,42,129,171,2800.3932783768096,70.47089352235014,990.1938268680502,360.1761146540619
34,22.31188,114.17065,Yau Tsim Mong,180,Private room,1,1,1,0,2,0.01,4.5,29,364,3,1,943.7064199924424,0,0,87,14,35,123,158,2647.077287288101,120.07418076802512,1182.7533227723725,244.1234479980465
